2,90633661502958
3,04577383058568
3,09247358619722
2,69833697884829
3,96910073334653
3,21762504929817
1,80176727015955
4,22600935194599
2,99358548243315
3,55737502633284
2,37408176815733
3,63091125454515
2,25759728358638
3,32172573813585
1,52275582382783
3,07269965079039
2,50509745963428
2,61162727446259
3,24050284640508
3,0452180880693
2,97240399155424
3,02244847207302
2,74633028728136
2,60450925271806
2,64153975092855
4,19808980474903
2,54846010695863
3,52718837591893
2,3617579621788
2,09853795594108
3,11013519029351
3,62773840177118
3,10090367405973
2,7465260692578
3,12904872402478
3,02942275802383
2,42333456509034
3,51541280395148
2,32135118210102
3,16040823641928
2,86972690015868
2,56894094583701
3,22139600001994
2,78723187585587
2,79749498837632
3,16140099050342
3,13700026082607
3,02802649381243
3,34946150579667
2,08418186170418
3,25999171232639
3,76763384643863
2,44015632597615
2,81206130385499
4,28848777735966
2,4011553318934
3,59598379652583
1,71265458568341
3,23429284281023
2,12546094502914
1,97815116555027
2,48471391104826
3,52484226567157
3,53455462391817
2,54037208943968
2,48652846007153
3,20941315534606
3,74498811981429
1,91574891108318
3,23178011772368
3,29981417747798
2,62285287102303
2,19358326895733
3,78125876541545
3,3313884600996
4,5601711918388
2,35571424178809
2,42592553991805
3,36671533446735
3,36992568139655
3,91061621518885
3,6911863383563
2,25098008825998
2,54341479518255
2,77304918626548
1,99605338805475
1,21230199386875
2,8729527986999
3,68190796204334
2,05624776666538
3,67347650477353
2,86918083192341
2,68684712145696
4,32668140150519
3,91131168986292
3,41287616543293
1,74588587310534
3,56714320104276
3,29495091404765
3,08988948659115
2,31318973484032
3,01521228339512
2,89279223537832
3,85131282647386
3,82353358981577
1,7135152467281
2,05987721533137
2,9572669818291
3,33694539274657
3,70344604695683
2,97863669455614
3,43954098056681
2,01509966839469
2,81311684638608
2,01667929113816
4,52664309276962
2,52350550320085
3,27582267699397
2,84301483640848
3,31823986339404
3,54206129671512
4,04094162760481
1,97505935634987
3,8324721689431
2,23740521244361
3,75602463711426
4,00973423065403
1,77263619785484
4,69824795944246
3,32398792859805
2,83404850429846
3,14980649766241
2,51156268019002
2,46938332996348
2,98649597340098
2,31682515596861
2,88473021743816
4,7312714275628
3,90717286472043
2,94989661141026
2,38343418112814
